term,MI_OR_CI,MI_sig,CC_OR_CI,CC_sig,OR_change_pct,Direction,Sig_consistency
capabilityC,"2.10 [1.54, 2.87]",***,"2.10 [1.56, 2.90]",***,-0,CC lower,Both significant
DBAS_Medications,"0.80 [0.69, 0.92]",**,"0.75 [0.64, 0.88]",***,-5.7,CC lower,Both significant
side_effectsC,"1.72 [1.19, 2.48]",**,"1.69 [1.12, 2.57]",*,-1.6,CC lower,Both significant
bzra_daily_diazepam_eq,"1.13 [0.95, 1.35]",,"1.19 [0.97, 1.42]",.,4.8,CC higher,Both non-significant
stop_wdl_exp_combined.L,"0.89 [0.19, 4.23]",,NA,NA,NA,No change,Both non-significant
stop_wdl_exp_combined.Q,"0.39 [0.07, 2.10]",,NA,NA,NA,No change,Both non-significant
stop_wdl_exp_combined.C,"0.41 [0.06, 2.76]",,NA,NA,NA,No change,Both non-significant
stop_wdl_exp_combined^4,"1.26 [0.17, 9.67]",,NA,NA,NA,No change,Both non-significant
stop_wdl_exp_combined^5,"0.88 [0.07, 10.33]",,NA,NA,NA,No change,Both non-significant
wdl_symptom_count,"1.10 [0.51, 2.37]",,"1.94 [0.80, 4.65]",,76,CC higher,Both non-significant
n_sleep_conditions,"0.87 [0.59, 1.27]",,"0.83 [0.54, 1.27]",,-4,CC lower,Both non-significant
c_lengthofuse,"0.98 [0.95, 1.01]",,"0.98 [0.94, 1.01]",,-0.2,CC lower,Both non-significant
stop_wdl_exp_combined1,NA,NA,"0.50 [0.17, 1.53]",,NA,No change,Both non-significant
stop_wdl_exp_combined2,NA,NA,"0.41 [0.03, 4.97]",,NA,No change,Both non-significant
stop_wdl_exp_combined3,NA,NA,"1.79 [0.05, 67.54]",,NA,No change,Both non-significant
stop_wdl_exp_combined4,NA,NA,"1097271.85 [0.00, NA]",,NA,No change,Both non-significant
stop_wdl_exp_combined5,NA,NA,"0.09 [0.01, 0.93]",*,NA,No change,Both non-significant
