"Family","variable","ES_formatted","interpretation","Sig_FDR","p_val","p_fdr"
"Beliefs_COMB","capabilityC","d = +0.92 [0.70, 1.14]","Large","***",7.53629056664117e-15,6.02903245331293e-14
"Personality","DBAS_Medications","d = -0.73 [-0.95, -0.51]","Medium","***",7.94536602348472e-08,1.3507122239924e-06
"Beliefs_COMB","dependenceC","d = -0.48 [-0.70, -0.26]","Small","***",4.54086830447856e-05,0.000181634732179143
"Beliefs_COMB","adlsC","d = +0.44 [0.23, 0.66]","Small","**",0.000500595563359789,0.00133492150229277
"Sleep_Adverse","wdl_symptom_count","d = -0.36 [-0.58, -0.15]","Small","**",0.00128976280183306,0.00386928840549917
"Clinical","c_lengthofuse","d = -0.36 [-0.58, -0.14]","Small","**",0.000488713200741928,0.00586455840890313
"Beliefs_COMB","motivationC","d = -0.35 [-0.57, -0.14]","Small","**",0.00133702359297411,0.00267404718594822
"Beliefs_COMB","side_effectsC","d = +0.34 [0.12, 0.55]","Small","*",0.00991666726910533,0.0158666676305685
"Personality","DBAS_Total","d = -0.31 [-0.53, -0.10]","Small","",0.00995984855896441,0.0846587127511975
"Clinical","med_quant","d = -0.26 [-0.48, -0.05]","Small","",0.0127816591985853,0.0766899551915119
"Sleep_Adverse","stop_wdl_exp_combined","V = 0.25 [0.16, 0.34]","Small","***",6.32073774605522e-05,0.000379244264763313
"Personality","DBAS_Consequences","d = -0.24 [-0.46, -0.03]","Small","",0.0449858291215835,0.208578283502693
"Personality","BFI_Openness","d = +0.22 [0.00, 0.43]","Small","",0.073069473121278,0.208578283502693
"Personality","SURPS_Sensation_Seeking","d = +0.21 [-0.00, 0.43]","Small","",0.0565425695824471,0.208578283502693
"Personality","SURPS_Hopelessness","d = -0.20 [-0.42, 0.01]","Small","",0.0736158647656562,0.208578283502693
"Personality","CISS_Emotion","d = -0.17 [-0.39, 0.04]","Negligible","",0.122229225573862,0.296842404965094
"Personality","SURPS_Anxiety_Sensitivity","d = -0.15 [-0.37, 0.06]","Negligible","",0.188107812653376,0.399729101888425
"Clinical","n_sleep_conditions","d = -0.15 [-0.36, 0.07]","Negligible","",0.195897330064473,0.529256305309118
"Sleep_Adverse","melatonin_use","V = 0.15 [0.06, 0.24]","Small","",0.0546407938369545,0.109281587673909
"Clinical","phq2_score","d = -0.14 [-0.35, 0.08]","Negligible","",0.220523460545466,0.529256305309118
"Clinical","alc_use","V = 0.14 [0.04, 0.23]","Small","",0.0915518793988892,0.366207517595557
"Beliefs_COMB","benefitsC","d = -0.12 [-0.34, 0.09]","Negligible","",0.296850069129294,0.395800092172392
"Beliefs_COMB","pharmacistC","d = +0.12 [-0.10, 0.33]","Negligible","",0.352517293510091,0.402876906868675
"Clinical","n_ment_conditions","d = -0.10 [-0.32, 0.11]","Negligible","",0.325245409155033,0.643865181803804
"Clinical","n_health_conditions","d = -0.10 [-0.32, 0.11]","Negligible","",0.375588022718886,0.643865181803804
"Personality","BFI_Extraversion","d = +0.10 [-0.12, 0.31]","Negligible","",0.386472249689485,0.593459653166402
"Personality","BFI_Agreeableness","d = +0.10 [-0.12, 0.31]","Negligible","",0.363837660675868,0.593459653166402
"Personality","DBAS_Worry_Helplessness","d = -0.10 [-0.31, 0.12]","Negligible","",0.418912696352755,0.593459653166402
"Personality","BFI_Neuroticism","d = -0.10 [-0.31, 0.12]","Negligible","",0.383289355207262,0.593459653166402
"Personality","DBAS_Expectations","d = +0.08 [-0.13, 0.30]","Negligible","",0.461115311739806,0.602996946121284
"Sleep_Adverse","alc_sleep","V = 0.08 [0.00, 0.18]","Negligible","",0.589357694320654,0.88403654148098
"Demographics","age","d = -0.08 [-0.29, 0.13]","Negligible","",0.451578513596396,0.887223872965805
"Beliefs_COMB","prescriberC","d = -0.08 [-0.30, 0.13]","Negligible","",0.50149266553524,0.50149266553524
"Demographics","prov_terr","V = 0.07 [0.00, 0.17]","Negligible","",0.509415901281637,0.887223872965805
"Clinical","bzra_daily_diazepam_eq","d = -0.07 [-0.29, 0.14]","Negligible","",0.455429064900906,0.683143597351358
"Demographics","employment","V = 0.07 [0.00, 0.17]","Negligible","",0.13659949601635,0.887223872965805
"Clinical","gen_health","V = 0.07 [0.00, 0.16]","Negligible","",0.733596132585225,0.800286690092973
"Demographics","driving_freq","V = 0.06 [0.00, 0.16]","Negligible","",0.633731337832718,0.887223872965805
"Demographics","income","V = 0.06 [0.00, 0.16]","Negligible","",0.802519781504346,0.907709518243434
"Sleep_Adverse","op_sleep","V = 0.06 [0.00, 0.16]","Negligible","",0.815182628100585,0.892300247350958
"Clinical","fall2","V = 0.05 [0.00, 0.15]","Negligible","",0.589956280223164,0.786608373630885
"Sleep_Adverse","can_sleep","V = 0.05 [0.00, 0.15]","Negligible","",0.892300247350958,0.892300247350958
"Clinical","n_physical_conditions","d = -0.04 [-0.26, 0.17]","Negligible","",0.709777923890702,0.800286690092973
"Demographics","education","V = 0.04 [0.00, 0.14]","Negligible","",0.383235706824856,0.887223872965805
"Clinical","osss_3_score","d = -0.02 [-0.24, 0.19]","Negligible","",0.83806592788037,0.83806592788037
"Personality","SURPS_Impulsivity","d = -0.02 [-0.23, 0.20]","Negligible","",0.872545806572844,0.957785274042813
"Personality","CISS_Task","d = -0.01 [-0.23, 0.20]","Negligible","",0.901173900795037,0.957785274042813
"Personality","CISS_Avoidance","d = +0.01 [-0.20, 0.23]","Negligible","",0.910135257906111,0.957785274042813
"Demographics","sex","V = 0.01 [0.00, 0.10]","Negligible","",0.907709518243434,0.907709518243434
"Personality","BFI_Conscientiousness","d = +0.01 [-0.21, 0.22]","Negligible","",0.957785274042813,0.957785274042813
