Case_ID,Mean_Leverage,Mean_AbsResid,Outcome,Mechanism
350,0.57628,0.6644,0,High leverage / low residual (subgroup)
280,0.5017,0.5793,1,High leverage / low residual (subgroup)
145,0.45265,0.4912,0,High leverage / low residual (subgroup)
256,0.3474,1.3057,0,High leverage / high residual (both)
367,0.32496,0.7233,1,High leverage / low residual (subgroup)
108,0.30531,0.6486,1,High leverage / low residual (subgroup)
255,0.18367,1.6164,0,High leverage / high residual (both)
214,0.17044,0.799,0,High leverage / low residual (subgroup)
140,0.17016,0.9913,0,High leverage / low residual (subgroup)
247,0.15456,1.161,1,High leverage / high residual (both)
334,0.14913,1.2309,1,High leverage / high residual (both)
212,0.1019,1.1035,0,High leverage / high residual (both)
370,0.08589,1.2286,1,High leverage / high residual (both)
358,0.06522,2.0464,1,High leverage / high residual (both)
284,0.06149,1.637,1,High leverage / high residual (both)
267,0.05459,1.6395,0,High leverage / high residual (both)
307,0.0409,2.1453,1,High leverage / high residual (both)
20,0.03498,2.1146,1,Low leverage / high residual (outlier)
76,0.02761,2.6787,1,Low leverage / high residual (outlier)
86,0.02007,2.6051,1,Low leverage / high residual (outlier)
30,0.01899,3.5272,1,Low leverage / high residual (outlier)
232,0.01567,2.8722,1,Low leverage / high residual (outlier)
9,0.01457,4.1893,1,Low leverage / high residual (outlier)
131,0.00937,4.4651,1,Low leverage / high residual (outlier)
245,0.00561,5.9226,1,Low leverage / high residual (outlier)
317,0.00493,6.4666,1,Low leverage / high residual (outlier)
