Case_ID,Outcome,PMPP_mean,PMPP_min,PMPP_max
201,0,0.615,0.523,0.673
336,0,0.586,0.51,0.628
103,1,0.356,0.315,0.407
381,1,0.283,0.246,0.319
326,1,0.251,0.072,0.561
245,1,0.222,0.181,0.267
108,1,0.221,0.183,0.261
295,1,0.187,0.156,0.231
205,1,0.173,0.149,0.203
30,1,0.172,0.04,0.459
232,1,0.17,0.13,0.219
332,1,0.152,0.053,0.428
374,1,0.149,0.115,0.177
334,1,0.138,0.047,0.496
262,1,0.135,0.11,0.189
414,1,0.127,0.109,0.149
61,1,0.117,0.086,0.151
279,1,0.111,0.091,0.133
284,1,0.093,0.076,0.117
317,1,0.088,0.074,0.106
20,1,0.077,0.062,0.094
333,1,0.047,0.034,0.062
370,1,0.035,0.025,0.045
