"it","im","dep","meth","out","event_type"
0,0,"","collinear","bzra_weekly_diazepam_eq","dropped_predictor"
1,1,"driving_freq","pmm","c_sp___6","dropped_predictor"
1,1,"income","pmm","c_sp___6","dropped_predictor"
2,1,"driving_freq","pmm","c_sp___6","dropped_predictor"
2,1,"income","pmm","c_sp___6","dropped_predictor"
3,1,"driving_freq","pmm","c_sp___6","dropped_predictor"
3,1,"income","pmm","c_sp___6","dropped_predictor"
4,1,"driving_freq","pmm","c_sp___6","dropped_predictor"
4,1,"income","pmm","c_sp___6","dropped_predictor"
5,1,"driving_freq","pmm","c_sp___6","dropped_predictor"
5,1,"income","pmm","c_sp___6","dropped_predictor"
